Question,Answer,Class
Mon téléphone chauffe et ma batterie se décharge rapidement. C'est quoi le problème? Aidez-moi svp! :(,"Pas de panique, tout doux! Du calme, respirez un grand coup. Voilà, très bien, nous allons y arriver! 
Alors, il faut savoir que certains usages, tels les jeux, l’activation permanente du GPS ou encore l’enregistrement de vidéos en 4K ont tendance à accroître la chauffe des téléphones.
Notez également qu’il vaut mieux éviter de pousser la luminosité de votre écran au maximum, le rétro-éclairage apportant sa petite contribution à la chauffe globale des smartphones.
Il est aussi de bon ton de fermer les applications qui tournent en arrière-plan et qui consomment de l’énergie, à l’image des applications de géolocalisation (Google Maps, Waze, etc.) ou les réseaux sociaux (Facebook notamment) qui travaillent en arrière-plan, consomment de l’énergie et émettent donc de la chaleur. 
Veillez aussi à désactiver le wifi ou les données mobiles si vous ne les utilisez pas.
Supprimez aussi les Widgets que vous ne utilisez pas, trop de widgets tue les widgets.",Terminaux et applications
Comment se désinscrire de English Lessons,,Internet mobile
A quel moment de la journée puis-je effectuer des transferts Orange Money avec mon compte Ecobank et inversement?,Le service est disponible 24h/24 et 7j/7 et les transferts s’effectuent en temps réel.,Orange Money
"Si je mets ma carte Kalpé au niveau du GAB, j’ai comme message d'erreur ""cette carte n'est pas reconnue"".","Cela veut dire que la carte n’est pas acceptée par ce Guichet qui ne fait pas partie des guichets automatiques du réseau bancaire GIM UEMOA.
Attention, le service n’est pas encore ouvert au niveau des banques UBA, OraBank et BICIS.
Les banques partenaires sont les suivantes : CBAO, BHS, SGBS, BANQUE ATLANTIQUE, BSIC,  ECOBANK, BOA, BIS, ICB-FBN ,CDS, CIS, CNCAS, DIAMOND BANK et BGFI .",Orange Money
Il parait que le parcours pour payer les factures SDE et SONATEL via Orange Money a évolué?,"Effectivement, à partir du 31 Mars 2017, vous pourrez payer vos factures Sonatel et SDE disponibles et pas encore payées, avec votre Kalpé Orange Money.",Orange Money
Y a-t-il un modem spécifique déployé avec la fibre optique?,"Oui, l’accès Fibre est packagé avec un modem spécifique compatible au réseau Fibre Optique de Sonatel et
configuré avec des paramètres nécessaires à son bon fonctionnement par nos techniciens lors de l’installation de la Fibre optique.",Internet mobile
Pourquoi il y'a des frais de retrait d'argent sur Orange Money?,"Il faut d'abord savoir que tous systèmes de transfert d'argent appliquent des frais. Certains l'appliquent à l'envoi mais nous, nous avons choisi de les appliquer à la sortie. En parcourant nos frais de retrait, vous remarquerez que plus le montant à retirer est important, plus les frais sont moindres.
Pour retirer un montant compris entre 100 005 et 175 000 fr par exemple, les frais s'élèvent juste à 3 500 fr et 8.000fr pour une somme entre 300 005 et 400 000 fr.
Nous avons les tarifs les plus compétitifs du marché.",Orange Money
Comment fonctionne le service MyCanal?,"Le service MyCanal fonctionne via un application, disponible sur Play store, à installer sur un Smartphone ou une tablette, il est aussi accessible sur le site web de Canal + Afrique www.canalplus-afrique.com. 
Ainsi vous disposez de l’accès à une sélection de chaines en Live, un catalogue de VOD et à un guide des programmes.",TVO
"Ma TVO ne marche pas,j'ai ce message ""vérifier que la connexion entre votre décodeur et votre livebox marche"".","Cela signifie que le câble qui relie le décodeur et la livebox n'est pas correctement branché.
Ce câble se branche sur le deuxième port du décodeur, celui avec le trait jaune. Il faut veiller à bien l'insérer, jusqu'à ce qu'une lumière s'allume.
L'autre bout se branche sur le décodeur (il y'a un seul emplacement pour ce câble au niveau du décodeur). Là également, il faudra veiller à bien l'insérer.
Après cela, il faudra juste éteindre le décodeur et la livebox et rallumer en premier la livebox.
Dès que le voyant @ de votre livebox soit allumé et vert stable pour rallumer le décodeur et attendre que les images viennent.
Si après cela, le souci persiste, il faudra contacter le service client via la page facebook ou sur tweeter (@supportorange) ou par mail (serviceclient@orange-sonatel.com) afin que le nécessaire soit fait.",TV d'orange et contenus
J'ai entendu parlé d'une baisse de tarifs chez vous?,"Efectivement, la baisse de nos tarifs est rentrée en vigueur depuis le 15/02, avec au menu, nos offres internet mobile et fixe revisitées. 
Concernant l'internet mobile prépayé, pour chaque pass acheté via le #1234#, le volume augmente mais le tarif reste le même! Vous pouvez consulter le #1234# pour voir les changements opérés ou consulter ce lien pour voir les changements opérés : https://www.orange.sn/2/particuliers/1/26/pass-internet-au-volume-261.html .
Pour la partie internet fixe, une baisse de 5.000fr sur la redevance mensuelle est appliquée pour les offres HOME et HOMES PLUS. Tu peux consulter le site www.home.sn pour avoir plus de détails.",Internet et fixe
La fibre optique qu’est que c’est exactement ?,"La Fibre optique est une technologie de transport de donnée beaucoup plus rapide que l’ADSL. Alors que l’ADSL transporte vos données numériques via les lignes téléphoniques classiques en cuivre, la Fibre Optique d’Orange va utiliser un fil de verre d’une finesse extrême (pas plus gros qu’un cheveu).  
Le verre a pour propriété de laisser passer la lumière. Avec la Fibre Optique, c’est donc un signal lumineux est utilisé pour le transport des données, qui se fait donc … à la vitesse de la lumière.",Internet et fixe
Comment consulter les détails de facturation au téléphone?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 2 pour consulter votre facture.
3°) Appuyez finalement sur 1 pour obtenir le détail de votre facture au téléphone.
 Le serveur vous lit rubrique par rubrique les éléments qui vous ont été facturés.
Vous devez être abonné et votre facture doit être disponible.",Offres mobiles
Quels sont les illimix pour le nouveau profil Jamono Allo?,Ci-dessous les nouveaux illimix dédiés à ce profil et les avantages qui vont avec:,Offres mobiles
Comment souscrire à la nouvelle gamme Teranga ?,"Pour le Nouvel Abonné,
Offres bloquées : Teranga Initial (bloqué) ou Teranga Premium bloqué :
Paiement du montant forfait souscrit lors de la souscription + Reliquat terminal.
Génération de la facture périodique au titre du mois suivant lors de la souscription avec échéance le 27.
 Pour bénéficier d’un numéro postpaid, le client devra d’abord souscrire à une offre postpaid moyennant des FAS de 7 900F HT et ensuite migrer vers une offre bloquée.
Offres ouvertes : Teranga Premium ouvert et Teranga Liberty 
Paiement de FAS 7 900F HT + Reliquat terminal
Réception de la facture périodique le mois suivant :
Montant du forfait + dépassements pour Teranga Premium ouvert
Montant de la redevance (7 900F HT) + les consommations effectuées. 
NB : le numéro Mobile pour le NA ouverte est postpaid.
 ",Offres mobiles
"J’ai une adresse IP Fixe avec l’ADSL, en migrant sur la fibre pourrais-je toujours bénéficier de cette adresse IP Fixe?","Oui, avec votre accès en Fibre optique vous continuez à bénéficier de votre adresse IP fixe.",Internet et fixe
Comment faire pour retrouver le code d'une carte mal grattée?,"Si vous avez 05 chiffres conséctifs qui sont visibles sur la carte, vous pouvez alors récupérer votre code de recharge sur le menu # 148 # .
A défaut vous avez la possibilité de récupérer le code via votre service client digital sur les canaux ci-dessous : 
FACEBOOK: http://bit.ly/2ErZFzP
TWITTER: https://twitter.com/SupportOrange
par mail: serviceclient@orange-sonatel.com ou encore sur l'application Orange et moi.
Si vous ne disposez pas de l'application Orange et moi rendez vous sur ce lien: http://bit.ly/2GGGO4L",Offres mobiles
"Je souhaite convertir mes points Sargal en cadeaux, que dois-je faire?","Pour convertir vos points, taper #221# option 1 pour voir vos points Sargal, puis 2 pour choisir mes cadeaux, vous pourrez ainsi choisir le type de cadeau que vous souhaitez et voir la liste des cadeaux disponibles pour chacun
Vous pouvez convertir vos points Sargal en minutes d’appels, SMS , pass internet , illimix , numéros illimités ou bons d’achat.",Offres mobiles
"J'avais acheté un iPhone des anciens modèles chez vous, aurai-je la possibilité de l’échanger avec un 8 ou 8 Plus?","Non. Cependant, la majorité des fonctions de la nouvelle version sont déjà disponibles sur votre iPhone. Il vous suffit de mettre à jour votre logiciel via iTunes en téléchargeant la version la plus récente mise en ligne par Apple. Cette nouvelle version est compatible avec les iphone 7 et 7 Plus.",Terminaux et applications
Pourrai-je récupérer tous mes contacts en cas de perte après une sauvegarde répertoire Orange ?,Vous récupérerez uniquement les contacts que vous avez enregistrés et sauvegardés sur la SIM. Pour rappel la SIM enregistre 250 numéros.,Offres mobiles
Comment faire une opération de transfert du distributeur vers le revendeur?,"Pour envoyer du crédit à un revendeur, le grossiste tape: #117*N° revendeur*montant*code secret# + touche appel.
Désormais vous recevrez juste avant la validation de votre transaction la notification récapitulative avec la possibilité de valider ou d’annuler l’opération.",Offres mobiles
"J’ai testé mon éligibilité sur le site www.senefibre.orange.sn et je suis éligible, comment faire pour en bénéficier?","Si vous avez rempli, le formulaire qui s’est affiché lors du résultat de test de votre éligibilité, vous serez contacté par un commercial pour traiter votre demande. Une fois le contrat signé, une équipe technique vous contactera pour l’installation de la fibre dans votre domicile / site.
Si vous n’avez pas rempli le formulaire,vous pouvez nous contacter afin qu'on demande à ce que l’on reprenne contact avec vous.",Internet et fixe
J’ai entendu parler de nouveautés sur Orange money de quoi s’agit- il ?,"Oui à partir depuis le 14 Août 2017, tous les clients prépayés  inscrits à Orange Money , peuvent directement,  à partir de leur Kalpé, acheter leur pass internet
NB: Pour le moment, un bonus de 50% est offert sur le volume du pass acheté.",Orange Money
Je voudrai avoir des renseignements sur votre offre ADSL HOME et les modalités de souscription.,"Voici les caractéristiques de l'offre Home: 
>Frais d'accès à 35.000Fr;
> Redevance mensuelle de 22.900 F;
>Accès au nouveau bouquet Orange; 
>ADSL 4 Mégamax; 
>Illimité vers 1 Mobile Orange; 3 Numéros fixes illimités 24/7; Illimité Voix vers fixes soir et Week-End; Forfait bloqué voix de 10.000 CFA et possibilité de recharger votre crédit en plus du téléphone fixe offert. 
Pour souscrire, il faut vous rapprocher d'une de nos agences muni de votre pièce d'identité et du numéro de téléphone fixe d'un de vos voisins proches.
Nos agences sont ouvertes du lundi au vendredi de 07H30 à 16H45 avec une pause de 13H30 à 15H uniquement les vendredis. 
Elles sont aussi ouvertes les samedis de 9H à midi à DAKAR.",Internet et fixe
"J’ai changé de formule,j’ai reçu un sms disant que j’ai un mois gratuit au service actualité APA/Blague/ English lesson?","Quand vous changez de formule, nous vous offrons un service pendant un mois:
- Les clients Jamono Max reçoivent le service actualité APA
- Les clients Jamono Allo reçoivent le service Blague
- Les clients Jamono New Scool reçoivent le service English lesson
À la fin du mois offert, le renouvellement du service est facturé à 400fr.
Vous pouvez vous désabonner à tout moment au #111#.",Offres mobiles
Comment interdire l’accès par une autre ligne téléphonique?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 4 pour modifier vos options personnelles.
3°) Appuyez sur finalement sur 1 pour configurer l’accès à partir d’une autre ligne. 
 
Le serveur vous donne l’état de votre paramètre accès à partir d’une ligne fixe et vous propose de le modifier ou de le laisser tel quel.",Offres mobiles
"Je suis client kirene avec Orange ou postpayé , pourquoi je ne peux pas acheter de pass via Orange Money?",Nous avons prévu  une phase 2  pour les clients Kirene avec Orange.,Orange Money
Où peut-on avoir la liste des agences Sonatel ?,La liste des agences commerciales de la Sonatel est disponible sur ce lien https://www.orange.sn/2/particuliers/1/442/nos-boutiques-899.html .,Bienvenue
Je me suis inscrit à l'université via Orange Money sauf qu'on me demande un justificatif de paiement. Est-ce possible?,"Rassurez-vous, avec Orange Money, il est bien possible d'avoir un reçu de paiement.
Il suffit de cliquer sur le lien http://41.208.148.69/orange_money/recus.php et d'insérer le numéro de transaction commençant par BP.
Vous pouvez imprimer ce reçu tout comme vous pouvez le garder sous format électronique. :-)",Orange Money
Est-ce que je pourrais consulter toutes mes factures en ligne ?,Vous pouvez consulter en ligne vos six (6) dernières factures.,Internet et fixe
Comment ajouter un filtre sur Snapchat ?,"Une fois que vous avez pris votre Snap, faites glisser votre doigt vers la gauche ou vers la droite sur l'écran de prévisualisation pour faire défiler les filtres. Vous pouvez ajouter l'heure, la météo, des filtres de couleur ou de vitesse, ou des Geofilters . 
Pas besoin de s'arrêter à un filtre. Superposez les filtres pour montrer à quel point vous êtes fort en Snap ! Après avoir pris votre Snap et avoir appliqué votre premier filtre, appuyez longuement  puis balayez l'écran pour en ajouter d'autres. :D",Terminaux et applications
Quelles sont zones couvertes par la 2G et la 3G d'Orange Sénégal?,Il faut cliquer sur ce lien  https://www.orange.sn/2/particuliers/1/3/orange-legal-10246.html pour consulter la couverture en 2G et 3G du Sénégal.,Bienvenue
Comment se passe sur le site www.afrciashop.sn les paiements sur le site www.afrciashop.sn via Orange Money?,"Rendez-vous sur le site www.africashop.sn pour faire vos achats de biens et services en ligne, au moment du paiement, choisissez Orange Money:
1.Vous êtes redirigé vers une page spécifique et il faudra faire une demande de code en tapant #144#391# + touche d’appel,
2.vous recevez par sms un code de 6 chiffres, le code doit être utilisé dans les 15minutes qui suivent la réception
3.Vous saisissez votre numéro de téléphone et le code reçu sur la page web de paiement et validez le paiement
Vous recevrez ensuite le message de confirmation Orange Money par sms et vous vous recevez un mail du marchand en ligne confirmant votre achat.",Orange Money
Pourquoi mes transactions orange money sont plafonnées à 200.000fr alors que certains dépassent ce montant?,"Cette limitation a été mise en place afin de respecter la réglementation. Il est possible de lever ce plafond.
Pour cela, il suffit de se rendre au niveau d'une agence Sonatel avec une copie de la carte d’identité pour les sénégalais ou passeport pour les non sénégalais  afin d'y signer le contrat Orange money. 
Le plafond sera mis à jour dans les 48H qui suivent l'opération, une fois le contrat rempli .
Si au bout de 48H, cela n'est toujours pas résolu, contactez-nous sur notre page facebook ou sur tweeter (@supportorange) ou par mail (servceclient@orange-sonatel.com) afin que nous puissions faire le nécessaire. ;)",Orange Money
Le débit à l’envoi que vous offrez dans l’offre Home Fibre est très faible seulement 2 Mbit/s !,"Avec un débit à l’envoi de 2 Mbit/s qui est stable et constant, vous constaterez une réelle amélioration dans vos usages Internet tels que l’envoi de contenus multimédias: photos, vidéos, email…",Internet et fixe
"J’ai vu une rubrique promo sur le menu #1234#, y’a-t-il une promo?",Cette rubrique permet de vous informer à temps réel des promotions en cours sur les offres internet mobile. Vous pourrez ainsi voir la durée de la promo et comment faire pour en profiter.,Internet mobile
Comment créer un code personnalisé sur le SVI (Serveur à valeur intégré) ?,"Composez directement le numéro du serveur. Le serveur décroche automatiquement, lit le message de bienvenue et propose de choisir une langue de dialogue. Suivez les instructions pour la création de votre code
1°) Accédez au serveur
2°) Appuyez sur la touche 4 pour modifier vos options personnelles.
3°) Appuyez sur ensuite sur 1 pour configurer l’accès à partir d’une ligne fixe. 
Le serveur vous dit qu’actuellement vos informations de facturation sont accessibles à partir d’une autre ligne et vous propose un menu pour modifier vos options d’accès.
4°) Appuyez finalement sur 2 pour modifier votre code secret.
Une fois cela fait, pour vos prochains appels, composez simplement le numéro du serveur.",Internet et fixe
Quelle est le délai d'installation d'un nouvel abonnement Keurgui?,Le délai d'installation pour un nouvel abonnement Keurgui est de 2 à 7 jours après la validation de la demande.,Internet et fixe
"Puis-je changer de gamme de forfait en cours de contrat, c’est-à-dire passer d’un forfait initial vers un premium?",Oui vous avez la possibilité de changer de forfait en cours de contrat sauf si vous disposez de l’offre Teranga Premium avec terminal auquel cas la migration vers Teranga Initial n’est pas autorisé dans les 12 premiers mois.,Offres mobiles
Où dois-je me rendre pour bénéficier de cette offre free roaming? Y a-t-il des conditions de souscription ?,"Aucune souscription pour les clients prépayé, cependant il est nécessaire d’activer le service roaming en agence pour les clients postpayés.",Internet mobile
La fibre optique est-elle disponible partout ?,"Le déploiement de la fibre se fait progressivement, les zones où la fibre est actuellement disponibles sont le Plateau et la Cité Keur Gorgui. Si vous avez un numéro de téléphone, vous pouvez vérifier sur le site wwww.senefibre.orage.sn, si vous êtes dans une zone fibre.
Vous pouvez aussi appeler au 800 810 820 pour les clients particuliers et au 800 800 800 pour les Entreprises.",Internet et fixe
"J’ai entendu parler d’une évolution sur le parcours de paiement de facture via Orange Money, de quoi s'agit-il?","Depuis le 25 Janvier le parcours sur le paiement de facture par Orange Money a connu une évolution. 
Désormais avant de valider le paiement d’une facture et/ou recharge WOYOFAL avec son code secret, le client est notifié des frais et du montant total à payer.
Seul le paiement des factures SONATEL, SDE, SENELEC et les recharges WOYOFAL sont concernés par cette évolution pour le moment .",Orange Money
"Je ne reçois plus mes factures physiques, je ne suis par sûr d’avoir le montant de la facture à temps?","Nous avons mis à votre disposition plusieurs moyens vous permettant de disposer des éléments de votre facture : 
 connexion au portail www.orange.sn
Appel gratuit au 601, pour vous accéder  à tout instant à l’état de votre facture.
Réception d’un push SMS sur votre numéro de mobile enregistré
Réception d’un email si vous nous avez transmis une adresse email
Réception d’un fax si vous nous en communiquez le numéro.",Internet et fixe
Puis-je faire de l’internet mobile avec un Forfait Teranga Initial ?,"Oui, pour cela vous devrez souscrire aux Forfait Internet Bloqués (de 1 à 60 giga) qui vous sera facture en plus de votre forfait Teranga inital ou bien suite rechargement acheter un pass volume via ussd #1234#.
Les Forfaits Internet bloqué, pour communiquer et gérer votre budget en toute sérénité.",Offres mobiles
J’essaie de télécharger Whatsapp mais j’ai le message d’erreur : « Cet article n'est pas disponible dans votre pays ».,"Si vous voyez l'erreur « cet article n'est pas disponible dans votre pays » ou si les conseils de dépannage du Centre d'aide de Google Play n'ont pas aidé, vous devrez télécharger ou mettre à jour WhatsApp à partir du site web suivant : https://www.whatsapp.com/android/.
Vous devez également activer les Sources inconnues dans les paramètres Sécurité de votre téléphone le temps de télécharger l'application. Bien entendu, il faudra désactiver ce paramètre une fois que vous avez téléchargé ou mis à jour WhatsApp sur notre site web.",Terminaux et applications
Le volume des Pass internet sur le SOS a changé aussi avec la refonte mobile?,,Internet mobile
C’est quoi l’offre Family ?,"Il s’agit d’une offre que les parents peuvent souscrire pour leurs enfants de moins de 15 ans.
L’offre Family revêt de nouvelles couleurs et vient renforcer le lien entre parents et enfants en se dotant de tous nouveaux avantages.
À son lancement le 18 Juillet 2017, l’offre Family c’était :
  Appels à 0,5F/s et sms à 5F de l’enfant vers le parent ;
  Seddo pass internet gratuit du parent vers l’enfant.
Désormais, les avantages se multiplient et sont surtout réciproques du parent vers l’enfant : 
  Appels à 0,5F/s et sms à 5F entre parent et enfants ;
  Seddo Bonus GRATUIT entre parent et enfants ;
  Seddo Pass Internet GRATUIT entre parent et enfants.
Encore plus fun, ces avantages sont désormais étendus aux frères et sœurs (enfants du même parent, limités au nombre de 3) :
  Appels à 0,5F/s et sms à 5F entre enfants du même parent ;
  Seddo Bonus gratuit entre enfants du même parent ;
  Seddo Pass Internet gratuit entre enfants du même parent.",Offres mobiles
Paramétrage manuel de l'internet mobile sur un smartphone Android version Wolof,"<p><iframe src=""https://www.youtube.com/embed/oJmrnY_zPcM?list=PLzR79kEz1u4Kx70xx3B6fHXPcWlbCExsB"" width=""560"" height=""315"" frameborder=""0""></iframe></p>",Tutoriel
Je suis à l'extérieur et je n'arrive pas accéder à ma boite vocale. Comment faire?,Le numéro à composer pour consulter ses messages vocaux depuis l’étranger est le 00221776380000.,Bienvenue
J’ai entendu parler d’un nouveau service de transfert d’argent avec Orange money?,"A partir du 12 Juin 2017, tous les clients Orange Money pourront envoyer de l’argent depuis leur Kalpé Orange Money vers tout destinataire au Sénégal (Orange Money, Orange, client de la concurrence ou non équipé de mobile).",Orange Money
Quelle est la nouvelle tarification pour virer de l'argent de son Compte bancaire BICIS vers Orange Money?,"La tarification est faite comme suit :
De 500 F CFA – 100 000 F CFA les frais sont de  585  F CFA TTC.",Orange Money
Si je n’ai pas assez de crédit pour renouvelez est-ce que je perds le service Mon statut ?,"Non, le statut continuera à s’afficher pendant 60 jours. Entre temps, dès que vous rechargez, le renouvellement sera effectué.",Offres mobiles
"J’ai du mal à vous joindre par téléphone, sur le 1441.","Nous recevons beaucoup d’appels aujourd’hui. Le Service client est disponible également par :
1.facebook.com/orange.sn
2.Twitter : @SupportOrange
3.Email : serviceclient@orange-sonatel.com
4.Sur internet via assistance.orange.sn.",Offres mobiles
Je dois voyager et je souhaite suspendre mon abonnement ADSL sans me déplacer. Est-ce possible?,J'ai une bonne nouvelle pour vous. Cela est bien possible. Il faudra juste en faire la demande sur cette adresse mail : commandespartelephone@orange-sonatel.com .,Internet et fixe
Configuration pas à pas du compte de messagerie BlackBerry Internet Service,"Pour configurer un compte de messagerie BlackBerry Internet Service à l'aide de la fonctionnalité de connexion automatique, procédez comme suit :
1. Vérifiez que le smartphone BlackBerry est connecté au réseau sans fil par l'indicateur d'état du réseau. Pour en savoir plus, vérifiez le tableau indicateur d'état du réseau, reportez-vous à la rubrique « Problèmes d'envoi ou de réception d'e-mails »
2. Dans l'écran d'accueil, cliquez sur l'icône Configuration.
3. Cliquez sur l'icône Paramètres de messagerie ou Comptes de messagerie.
Remarque : il est possible que les fournisseurs de services sans fil utilisent d'autres termes pour désigner l'icône Paramètres de messagerie ou Comptes de messagerie. L'icône Paramètres de messagerie demeure la même.
4. Lisez attentivement les conditions générales.
 . Sélectionnez Oui, ce qui signifie que vous avez lu et compris l'accord de licence.
 . Cliquez sur J'accepte pour accepter les conditions générales d'utilisation et pour continuer le processus de configuration.
5. Suivez les instructions à l'écran pour configurer l'adresse électronique. Dans certains cas, vous verrez peut-être les options suivantes. Si oui, sélectionnez l'une de ces options.
. Compte Internet Mail : utilisez cette option pour associer le smartphone BlackBerry à un ou plusieurs comptes de messagerie existants (par exemple, Windows Live™ Hotmail®) ou pour créer une adresse électronique pour le smartphone BlackBerry.
. Compte Enterprise : si l'administrateur a donné un mot de passe d'activation Entreprise au client, utilisez cette option pour associer le smartphone BlackBerry au compte de messagerie professionnel à l'aide de BlackBerry® Enterprise Server.",Terminaux et applications
Le changement de puce Kirène simple en puce 4G est-il gratuit?,"Si vous avez une sim normale, il faudra vous présenter en agence Orange (Dakar, Saly et Touba) ou chez les vendeurs Kirène avec Orange muni de votre pièce d’identité :
- Si vous êtes déjà équipé d’un terminal compatible 4G, la sim 4G est gratuite dans les agences Orange
- Sinon, la SIM 4G est au même prix que la SIM 3G à 1000 FCFA seulement.",Offres mobiles
Est-ce que c’est sûr de faire toutes mes opérations avec les revendeurs itinérants Orange Money?,"Oui, ces agents sont équipés de Tee-shirt et casquette Orange Money et pourront faire vos opérations en toute sécurité",Orange Money
Comment se désinscrire de English Lessons en 2 étapes !?,,Offres mobiles
Pourquoi avez-vous décidé d’arrêter le service BlackBerry prépayé?,"Le marché des Smartphones est en pleine évolution et apporte des solutions de plus en plus simples et innovantes pour accéder à Internet.
Dorénavant plus besoin d’acheter un forfait BlackBerry pour faire de l’Internet mobile, l’achat d’un Pass Internet sur #1234# ou sur www.passorange.sn suffit.",Internet mobile
Le modem qui va avec les offres fibre optique supporte t-il le wifi?,"Oui, ce modem est compatible wifi et permet de partager la connexion jusqu’à 32 utilisateurs.",Internet et fixe
Comment réinitialiser mon mot de passe BlackBerry ID perdu ou oublié?,"Pour réinitialiser votre mot de passe Blackberry ID sur un ordinateur, rendez-vous sur le site www.blackberry.com/blackberryid.
Cliquez sur Réinitialiser votre mot de passe, puis suivez les instructions à l'écran.
Pour réinitialiser votre mot de passe sur votre téléphone BlackBerry, lorsque vous êtes invité à vous connecter avec votre BlackBerry ID, cliquez sur ""Mot de passe oublié"". Répondez à votre question de sécurité et suivez les instructions à l'écran.
Et voilà!",Terminaux et applications
Comment autoriser l’accès à distance à mes factures?,"L’accès à distance permet consulter ses informations de facturation à partir d’un autre téléphone fixe.  Par défaut, l’accès à distance est désactivé pour tous les abonnés. Ces derniers doivent personnellement l’activer.
Accédez au serveur et appuyer sur 4 pour les options personnelles puis sur 3 pour autoriser ou interdire les accès à distance.",Offres mobiles
ça fait 4 heures de temps que j'ai payé ma facture mais ma connexion internet ne marche toujours pas.,"Je vous conseille d'éteindre votre modem ou livebox, de débrancher le fil qui est sur le port ADSL, de le rebrancher et d'attendre 5 minutes avant de le rallumer.
Si après cela votre connexion ne marche toujours pas, il faudra contacter le service client via la page facebook ou sur tweeter (@supportorange) ou par mail (serviceclient@orange-sonatel.com) afin qu'il puisse vous assister.",Internet et fixe
Qu’est-ce qu’un PASS ?,Un Pass est un forfait temporaire que le client ayant un forfait bloqué peut acheter pour continuer à se connecter à l’épuisement de son forfait.,Internet mobile
Combien de fois puis-je changer de formule? Est-ce gratuit?,"Vous pouvez changer autant de fois que vous voulez. Les 2 premiers changements sont gratuits. Au-delà, le changement est payant à 1000F.",Offres mobiles
Que se passe t-il avec la fibre optique en cas de coupure de courant?,"En cas de coupure d’électricité, le service de téléphonie est interrompu comme tous les autres services qui sont sur l’accès: la connexion Internet, la TV, la téléphonie ….",Internet et fixe
Est-ce que je pourrai renouveler mon forfait avant sa fin de validité ?,"Si vous épuisez votre forfait avant la fin du mois, il sera réinitialisé le 1er du mois. Vous pourrez continuer à communiquer gratuitement avec les membres de votre flotte jusqu’à la fin du mois. Par contre, vous devrez recharger du crédit pour continuer à émettre des appels extraflotte",Offres mobiles
Le forfait illimité pour la nouvelle gamme terranga est vraiment sans limite ?,"En réalité, il n y a pas de limite sur le volume des appels dans les 150 numéros . Par contre, il existe un fair use sur le nombre de numéros qui ne doit pas dépasser 150 par mois. Au-delà des 150 numéros, l’appel est facturé.",Offres mobiles
Comment faire pour avoir un compte mobile orange et visualiser ses factures en ligne ?,"Pour avoir un compte mobile Orange, il suffit juste de vous inscrire via le lien suivant: https://espaceclient.orange.sn/ .",Tutoriel
Qu'est-ce qui influence le débit de ma connexion ?,"La performance du débit dépendra de plusieurs facteurs : l'éligibilité technique de votre lieu de travail, votre matériel informatique (PC, modem), votre réseau local (Wifi, CPL, câbles RJ45....) .",Internet et fixe
"J’ai le Home/ Home+ chez moi, comment faire pour bénéficier de l'offre KeurGui ?","Oui, vous avez la possibilité de bénéficier de cette offre, en résiliant votre offre actuelle et faire un nouvel abonnement avec les prérequis de l’offre. Les frais d'accès à l'offre KEURGUI s'élèvent à 25.000fr.",Internet et fixe
Est-il nécessaire d'avoir un forfait internet avec plus de Mo/Go d'Internet mobile pour utiliser la 4G ?,"La plupart des usages Internet tels que la navigation web et l'utilisation d'applications consomment le même
nombre de Mo/Go en 3G+ ou en 4G.
•Cependant, la 4G permet également de nouveaux usages, tels que la TV en HD et les appels vidéos, qui
peuvent consommer plus rapidement votre forfait Internet.
•A titre d'exemple :
•- Chargement de la version mobile de ""Le Monde.fr"" = environ 0,1 Mo (en 3G+ ou en 4G) ;
•- Envoi d'une photo = environ 2 Mo (en 3G+ ou en 4G) ;
•- 10 minutes de TV = 60 Mo en qualité standard en 3G+ ou 340 Mo en HD en 4G (la qualité HD étant
désactivable).
•Selon vos usages, votre consommation Internet pourrait donc augmenter en 4G. Si votre forfait actuel ne
vous suffit plus, des forfaits avec davantage de Go sont disponibles. En effet nous avons créé deux nouveaux
forfaits de 20 et 60 Go qui vous permettront d’avoir plus d’abondance sur l’internet mobile.",Internet mobile
Comment brancher mon téléviseur avec mon décodeur?,Le décodeur est équipé de la dernière technologie en terme de connectique audio vidéo: le HDMI. Vous avez aussi la possibilité de connecter votre décodeur via péritel avec votre téléviseur non HD.,Internet et fixe
Comment connaître l’état de son option fax?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 4 pour modifier vos options personnelles.
3°) Appuyez finalement sur 3 pour configurer vos options fax. 
Le serveur vous communique le numéro de fax enregistré.
Vous devez utiliser votre téléphone.",Offres mobiles
Le débit upload que vous offrez dans l’offre Fibre Office et Fibre Office Intense est très faible (2 Mbit/s ou 3 Mbit/s),"Avec un débit constant et stable de 2 Mbit/s sur Fibre Office ou 3Mbits sur Fibre Office Intense ,vous constaterez une réelle amélioration dans vos usages Internet tels que l’envoi de fichiers volumineux, l’accès instantané aux applications et serveurs distants, l’usage d’outils collaboratifs en entreprise tels que la visio-conférence…",Internet et fixe
"Je veux payer ma facture via Orange Money mais j’ai un message d’erreur « Facture réservée », de quoi s’agit-il?","Vous avez ce message parce que quelqu’un essaie de payer la même facture.
Si ce paiement n’aboutit pas, vous pourrez recommencer dans 5 minutes.",Orange Money
La migration de l’ADSL vers la fibre optique est-elle payante?,La migration de l’ADSL vers la fibre est gratuite.,Internet et fixe
